Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orangeTestSuit,Chrome 67.0.3396.99,,2018-07-24 17:43:34,2018-07-24 17:44:09,34.751s,PASSED
,,,,,,
Test Cases/LOGIN/Test Login,Chrome 67.0.3396.99,,2018-07-24 17:43:34,2018-07-24 17:43:47,13.122s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:43:34,2018-07-24 17:43:37,2.610s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:43:37,2018-07-24 17:43:42,5.332s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:43:42,2018-07-24 17:43:43,0.166s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:43:43,2018-07-24 17:43:43,0.108s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:43:43,2018-07-24 17:43:43,0.403s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:43:43,2018-07-24 17:43:45,2.149s,PASSED
,,,,,,
Test Cases/LOGIN/ValidateLinks,Chrome 67.0.3396.99,,2018-07-24 17:43:47,2018-07-24 17:44:08,20.732s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-24 17:43:47,2018-07-24 17:43:57,9.779s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:43:57,2018-07-24 17:43:57,0.027s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:43:57,2018-07-24 17:43:57,0.026s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:43:57,2018-07-24 17:43:57,0.018s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:43:57,2018-07-24 17:43:57,0.019s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:43:57,2018-07-24 17:43:57,0.020s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:43:57,2018-07-24 17:43:59,1.480s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-24 17:43:59,2018-07-24 17:43:59,0.060s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:43:59,2018-07-24 17:43:59,0.572s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:43:59,2018-07-24 17:44:00,0.508s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:00,2018-07-24 17:44:01,1.393s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:01,2018-07-24 17:44:01,0.085s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 17:44:01,2018-07-24 17:44:03,1.227s,PASSED
getText,Chrome 67.0.3396.99,,2018-07-24 17:44:03,2018-07-24 17:44:03,0.147s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:03,2018-07-24 17:44:04,1.262s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:04,2018-07-24 17:44:04,0.548s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:04,2018-07-24 17:44:05,0.512s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:44:05,2018-07-24 17:44:06,0.899s,PASSED
